ExpId,DeviceIDHash,session,time_session,cnt_pay_session,total_actions,PaySuccess,viewOffers,viewCarts,from_outside
246,6888746892508752,1,0.0,0,1,False,False,False,False
246,6922444491712477,1,13.0,1,5,True,True,True,False
246,6922444491712477,2,16.0,1,5,True,True,True,False
246,6922444491712477,3,335.0,0,6,False,True,False,False
246,6922444491712477,4,925.0,5,17,True,True,True,False
246,6922444491712477,5,189.0,1,11,True,True,True,False
246,6922444491712477,6,21.0,0,3,False,True,False,False
246,8740973466195562,1,2191.0,0,7,False,True,False,False
246,8740973466195562,2,0.0,0,1,False,False,False,False
246,8740973466195562,3,0.0,0,1,False,False,False,False
246,12692216027168046,1,404.0,0,3,False,False,False,False
246,12692216027168046,2,0.0,0,1,False,True,False,True
246,12692216027168046,3,0.0,0,1,False,True,False,True
246,12692216027168046,4,596.0,0,5,False,True,False,True
246,15708180189885246,1,0.0,0,1,False,True,False,True
246,15708180189885246,2,1265.0,5,12,True,True,True,True
246,15708180189885246,3,446.0,0,6,False,True,False,False
246,15708180189885246,4,249.0,0,5,False,True,True,True
246,15708180189885246,5,43.0,0,6,False,True,True,False
246,15708180189885246,6,936.0,2,9,True,True,True,False
246,15708180189885246,7,0.0,0,1,False,True,False,True
246,15708180189885246,8,20.0,0,2,False,True,False,False
246,15708180189885246,9,87.0,0,4,False,True,False,False
246,15708180189885246,10,97.0,2,15,True,True,True,False
246,15708180189885246,11,9.0,0,2,False,True,False,True
246,15708180189885246,12,0.0,0,1,False,True,False,True
246,15708180189885246,13,31.0,0,3,False,True,False,False
246,15708180189885246,14,100.0,5,12,True,True,True,True
246,15708180189885246,15,15.0,1,6,True,True,True,False
246,15708180189885246,16,0.0,0,1,False,True,False,True
246,15708180189885246,17,151.0,0,7,False,True,False,False
246,15708180189885246,18,711.0,1,7,True,True,True,True
246,15708180189885246,19,90.0,2,6,True,True,True,False
246,15708180189885246,20,10.0,0,2,False,True,False,False
246,15708180189885246,21,115.0,3,10,True,True,True,False
246,15708180189885246,22,56.0,2,8,True,True,True,False
246,18658818197810381,1,0.0,0,1,False,True,False,True
246,18658818197810381,2,0.0,0,1,False,False,True,True
246,18658818197810381,3,804.0,0,2,False,True,False,True
246,18658818197810381,4,14.0,0,3,False,True,False,False
246,18658818197810381,5,0.0,0,1,False,True,False,True
246,18658818197810381,6,221.0,0,5,False,True,False,True
246,18658818197810381,7,1628.0,1,3,True,True,True,True
246,18658818197810381,8,209.0,1,3,True,True,True,True
246,18658818197810381,9,44.0,0,3,False,True,False,True
246,18658818197810381,10,165.0,0,2,False,True,False,True
246,18658818197810381,11,0.0,0,1,False,True,False,True
246,18658818197810381,12,412.0,1,7,True,True,True,True
246,18658818197810381,13,159.0,0,6,False,True,False,True
246,18658818197810381,14,179.0,0,6,False,True,False,True
246,18658818197810381,15,840.0,0,5,False,True,False,False
246,18658818197810381,16,0.0,0,1,False,True,False,True
246,18658818197810381,17,157.0,0,3,False,True,False,True
246,18658818197810381,18,0.0,0,1,False,True,False,True
246,18658818197810381,19,37.0,1,4,True,True,True,True
246,18658818197810381,20,0.0,0,1,False,True,False,True
246,18658818197810381,21,1687.0,0,4,False,True,False,True
246,18658818197810381,22,0.0,0,1,False,True,False,True
246,18658818197810381,23,0.0,0,1,False,True,False,True
246,18658818197810381,24,0.0,0,1,False,True,False,True
246,18658818197810381,25,1.0,1,2,True,False,True,True
246,18658818197810381,26,48.0,0,2,False,True,False,True
246,18658818197810381,27,215.0,1,4,True,True,True,True
246,18658818197810381,28,119.0,0,3,False,True,False,True
246,18658818197810381,29,88.0,0,2,False,True,False,True
246,20449203507642281,1,774.0,0,13,False,False,False,False
246,20795828045873027,1,783.0,3,10,True,True,True,False
246,20795828045873027,2,2.0,0,2,False,True,False,False
246,24144092107925848,1,8.0,0,2,False,False,False,False
246,24144092107925848,2,0.0,0,1,False,False,False,False
246,24144092107925848,3,0.0,0,1,False,False,False,False
246,24144092107925848,4,0.0,0,1,False,False,False,False
246,24144092107925848,5,0.0,0,1,False,False,False,False
246,24144092107925848,6,0.0,0,1,False,False,False,False
246,24144092107925848,7,0.0,0,1,False,False,False,False
246,24144092107925848,8,0.0,0,1,False,False,False,False
246,24144092107925848,9,0.0,0,1,False,False,False,False
246,24144092107925848,10,1213.0,0,4,False,False,False,False
246,24144092107925848,11,154.0,0,3,False,False,False,False
246,24144092107925848,12,0.0,0,1,False,False,False,False
246,24144092107925848,13,0.0,0,1,False,False,False,False
246,24144092107925848,14,0.0,0,1,False,False,False,False
246,24144092107925848,15,633.0,0,2,False,False,False,False
246,24144092107925848,16,0.0,0,1,False,False,False,False
246,24144092107925848,17,0.0,0,1,False,False,False,False
246,24144092107925848,18,0.0,0,1,False,False,False,False
246,33381960957324102,1,54.0,0,4,False,True,False,False
246,33381960957324102,2,788.0,0,2,False,False,False,False
246,33381960957324102,3,15.0,0,2,False,True,False,False
246,33381960957324102,4,329.0,0,3,False,True,False,False
